wfName,taskName,nodeName,rank
nfcore/chipseq:1.2.2,MACS2,m5.large,6
nfcore/chipseq:1.2.2,MACS2,m5.xlarge,20
nfcore/chipseq:1.2.2,MACS2,m5.2xlarge,27
nfcore/chipseq:1.2.2,MACS2,m5a.large,16
nfcore/chipseq:1.2.2,MACS2,m5a.xlarge,23
nfcore/chipseq:1.2.2,MACS2,m5a.2xlarge,19
nfcore/chipseq:1.2.2,MACS2,m5zn.large,13
nfcore/chipseq:1.2.2,MACS2,m5zn.xlarge,12
nfcore/chipseq:1.2.2,MACS2,m5zn.2xlarge,9
nfcore/chipseq:1.2.2,MACS2,c5.xlarge,11
nfcore/chipseq:1.2.2,MACS2,c5.2xlarge,4
nfcore/chipseq:1.2.2,MACS2,c5a.xlarge,10
nfcore/chipseq:1.2.2,MACS2,c5a.2xlarge,8
nfcore/chipseq:1.2.2,MACS2,r5.large,18
nfcore/chipseq:1.2.2,MACS2,r5.xlarge,3
nfcore/chipseq:1.2.2,MACS2,r5.2xlarge,14
nfcore/chipseq:1.2.2,MACS2,r5a.large,24
nfcore/chipseq:1.2.2,MACS2,r5a.xlarge,1
nfcore/chipseq:1.2.2,MACS2,r5a.2xlarge,21
nfcore/chipseq:1.2.2,MACS2,d3.xlarge,5
nfcore/chipseq:1.2.2,MACS2,d3.2xlarge,2
nfcore/chipseq:1.2.2,MACS2,i3.large,22
nfcore/chipseq:1.2.2,MACS2,i3.xlarge,25
nfcore/chipseq:1.2.2,MACS2,i3.2xlarge,26
nfcore/chipseq:1.2.2,MACS2,z1d.large,17
nfcore/chipseq:1.2.2,MACS2,z1d.xlarge,7
nfcore/chipseq:1.2.2,MACS2,z1d.2xlarge,15
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5.large,6
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5.xlarge,19
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5.2xlarge,27
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5a.large,14
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5a.xlarge,23
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5a.2xlarge,21
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5zn.large,13
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5zn.xlarge,12
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,m5zn.2xlarge,10
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,c5.xlarge,11
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,c5.2xlarge,4
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,c5a.xlarge,8
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,c5a.2xlarge,9
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5.large,18
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5.xlarge,2
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5.2xlarge,17
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5a.large,24
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5a.xlarge,1
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,r5a.2xlarge,22
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,d3.xlarge,5
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,d3.2xlarge,3
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,i3.large,20
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,i3.xlarge,25
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,i3.2xlarge,26
nfcore/chipseq:1.2.2,MACS2_ANNOTATE,z1d.large,15
